Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
23 21 20.88,Venturi Flow,280,"6"" diameter",Q-6,3.5,6.857,Ea.,"1,200",450.0,,"1,650","2,000"
23 21 20.88,Venturi Flow,500,"For meter, add",,,,,"2,500",,,"2,500","2,725"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,10,IN-LINE CENTRIFUGAL HYDRONIC PUMPS,,,,,,,,,
23 21 23.13,In-Line Centrifugal Hydronic Pumps,600,"Bronze, sweat connections, 1/40 HP, in line",,,,,,27,,,
23 21 23.13,In-Line Centrifugal Hydronic Pumps,640,"3/4"" size",-1,16.0,1.0,Ea.,257,63.0,,320,375
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1000,"Flange connection, 3/4"" to 1-1/2"" size",,,,,,,,,
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1040,1/12 HP,Q-1,6.0,2.667,Ea.,685,168.0,,853,"1,000"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1060,1/8 HP,,6.0,2.667,,"1,250",168.0,,"1,418","1,625"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1100,1/3 HP,,6.0,2.667,,"1,400",168.0,,"1,568","1,800"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1140,"2"" size, 1/6 HP",,5.0,3.2,,"1,800",201.0,,"2,001","2,275"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,1180,"2-1/2"" size, 1/4 HP",,5.0,3.2,,"2,425",201.0,,"2,626","2,950"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2000,"Cast iron, flange connection",,,,,,,,,
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2040,"3/4"" to 1-1/2"" size, in line, 1/12 HP",Q-1,6.0,2.667,Ea.,430,168.0,,598,725
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2100,1/3 HP,,6.0,2.667,,880,168.0,,"1,048","1,225"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2101,"Pumps, circulating, 3/4"" to 1-1/2"" size, 1/3 HP",,6.0,2.667,1,"1,050",168.0,,"1,218","1,400"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2140,"2"" size, 1/6 HP",,5.0,3.2,,,201.0,,"1,151","1,350"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2180,"2-1/2"" size, 1/4 HP",,5.0,3.2,,"1,425",201.0,,"1,626","1,875"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2220,"3"" size, 1/4 HP",,4.0,4.0,,"1,125",251.0,,"1,376","1,600"
23 21 23.13,In-Line Centrifugal Hydronic Pumps,2600,"For nonferrous impeller, add",,,,,,3%,,,
23 21 29.10,Condensate Removal Pump System,10,CONDENSATE REMOVAL PUMP SYSTEM,,,,,,,,,
23 21 29.10,Condensate Removal Pump System,20,Pump with 1 gal. ABS tank,,,,,,,,,
