Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
08 05 05.10,Selective Demolition Doors,10,SELECTIVE DEMOLITION DOORS,R024119-10,,,,,,,,
08 05 05.10,Selective Demolition Doors,200,"Doors, exterior, 1-3/4"" thick, single, 3' x 7' high",1 Clab,16212.0,.500,Ea.,,23,,23,ཆ 34
08 05 05.10,Selective Demolition Doors,220,"Double, 6' x 7' high",,,.667,,,30.50,,30.50,. ཤ 45
08 05 05.10,Selective Demolition Doors,500,"Interior, 1-3/8"" thick, single, 3' x 7' high",,20.0,.400,,,18.25,,18.25,རྦ 27
08 05 05.10,Selective Demolition Doors,520,"Double, 6' x 7' high",,16.0,.500,,,23,,23,རྞ 34
08 05 05.10,Selective Demolition Doors,700,"Bifolding, 3' x 6'-8"" high",,20.0,.400,,,18.25,,18.25,བེ 27
08 05 05.10,Selective Demolition Doors,720,"6' x 6'-8"" high",,18.0,.444,,,20.50,,20.50,ྂ 30
08 05 05.10,Selective Demolition Doors,900,"Bipassing, 3' x 6'8"" high",,16.0,.500,,,23,,23,ཆ
08 05 05.10,Selective Demolition Doors,940,"6' x 6'-8"" high",,14.0,.571,,,26,,26,ི
08 05 05.10,Selective Demolition Doors,960,"Interior metal door 1-3/4"" thick, 3'0"" x 6'-8""",,18.0,.444,,,20.50,,20.50,ྂ 30
08 05 05.10,Selective Demolition Doors,980,"Interior metal door 1-3/4"" thick, 3'-0"" x 7'-0""",1 Clab,18.0,:444,Eg.,,20.50,,20.50,བྷ 30
08 05 05.10,Selective Demolition Doors,1000,"Interior wood door 1-3/4"" thick, 3'-0"" x 6'-8""",,20.0,.400,,,18.25,,18.25,སེ
08 05 05.10,Selective Demolition Doors,1020,"Interior wood door 1-3/4"" thick, 3'-0"" x 7'-0""",,20.0,400,,,18.25,,18.25,སེ
08 05 05.10,Selective Demolition Doors,1100,"Door demo, floor door",12 Sswk,5.0,3.200,,,198,,198,བྷ 305
08 05 05.10,Selective Demolition Doors,1500,"Remove and reset, hollow core",1 Carp,8.0,,,,56.50,,56.50,ཆ 84
08 05 05.10,Selective Demolition Doors,1520,Solid,,6.0,1.333,,,75,,75,ཌི 112
08 05 05.10,Selective Demolition Doors,2000,"Frames, including trim, metal",,8.0,,,,56.50,,56.50,ཚ 84
08 05 05.10,Selective Demolition Doors,2200,Wood,2 Corp,32.0,.500,,,28,,28,ཤྲཱི42
08 05 05.10,Selective Demolition Doors,3000,"Special doors, counter doors",,6.0,2.667,,,150,,150,མྲྀ223
08 05 05.10,Selective Demolition Doors,3100,Double acting,,10.0,1.600,,,90,,90,ཎྜ
08 05 05.10,Selective Demolition Doors,3200,"Floor door (trap type), or access type",,8.0,2,,,113,,113,༔ 168
08 05 05.10,Selective Demolition Doors,3300,"Glass, sliding, including frames",,12.0,1.333,,,75,,75,ཎྜ 112
08 05 05.10,Selective Demolition Doors,3400,"Overhead, commercial, 12' x 12' high",,4.0,4,,,225,,225,བྷ 335
08 05 05.10,Selective Demolition Doors,3440,up to 20' x 16' high,,3.0,5.333,,,300,,300,ཤྲཱ445
08 05 05.10,Selective Demolition Doors,3445,up to 35' x 30' high,,1.0,162,,,900,,900,"1,350"
08 05 05.10,Selective Demolition Doors,3500,"Residential, 9' x 7' high",,8.0,,,,113,,113,༈ 168
08 05 05.10,Selective Demolition Doors,3540,16' x 7' high,,7.0,2.286,,,129,,129,༤ 192
08 05 05.10,Selective Demolition Doors,3620,Large,,2.5,6.400,,,360,,360,ཿ 535
08 05 05.10,Selective Demolition Doors,3700,Roll-up grille,,5.0,3.200,,,180,,180,ཿ 268
08 05 05.10,Selective Demolition Doors,3800,"Revolving door, no wire or connections",12,,8,,,450,,450,670
08 05 05.10,Selective Demolition Doors,3900,Storefront swing door,,3.0,5.333,,,300,,300,བྷྲ445
08 05 05.10,Selective Demolition Doors,6600,Demo flexible transparent strip entrance,3 Shee,115.0,209,SF Surf,,14.10,,14.10,བྷྱཿ 21
08 05 05.10,Selective Demolition Doors,7100,"Remove double swing pneumatic doors, openers and sensors",2 Skwk,0.5,32,Opng,,"1,875",,"1,875","2,825"
08 05 05.10,Selective Demolition Doors,7110,"Remove automatic operators, industrial, sliding doors, to 12' wide",#,0.4,40,,,"2,350",,"2,350","3,550"
08 05 05.10,Selective Demolition Doors,7550,Hangar door demo,2 Sswk,330.0,.048,S.F.,,3,,3,་ 4.
08 05 05.10,Selective Demolition Doors,7570,Remove shock absorbing door,,1.9,8.421,Opng,,520,,520,༔ 800
08 05 05.20,Selective Demolition of Windows,10,SELECTIVE DEMOLITION OF WINDOWS,R024119-10,,,,,,,,
08 05 05.20,Selective Demolition of Windows,200,"Aluminum, including trim, to 12 S.F.",1 Clab,16.0,0.5,Ea.,333372.0,23.0,,23.0,34.0
08 05 05.20,Selective Demolition of Windows,240,To 25 S.F.,,11.0,0.727,,,,,33.0,49.0
08 05 05.20,Selective Demolition of Windows,280,To 50 S.F.,,,1.6,,,,,73.0,109.0
08 05 05.20,Selective Demolition of Windows,320,"Storm windows/screens, to 12 S.F.",,27.0,0.296,,,13.5,,13.5,20.0
08 05 05.20,Selective Demolition of Windows,360,To 25 S.F.,,21.381,,,,17.35,,17.35,26.0
08 05 05.20,Selective Demolition of Windows,400,To 50 S.F.,,16.0,1.5,,,23.0,1.0,23.0,34.0
08 05 05.20,Selective Demolition of Windows,600,"Glass, up to 10 S.F./window",,200.0,0.04,S.F.,,1.82,,1.82,2.0
08 05 05.20,Selective Demolition of Windows,620,Over 10 S.F./window,,150.0,0.053,"""",,2.43,,2.43,3.0
08 05 05.20,Selective Demolition of Windows,1000,"Steel, including trim, to 12 S.F.",,13.0,0.615,Ea.,,28.0,,28.0,42.0
08 05 05.20,Selective Demolition of Windows,1020,To 25 S.F.,,9.0,0.889,,,40.5,,40.5,60.0
08 05 05.20,Selective Demolition of Windows,1040,To 50 S.F.,,4.0,2.0,,,91.0,,91.0,136.0
08 05 05.20,Selective Demolition of Windows,2000,"Wood, including trim, to 12 S.F.",,22.0,0.364,,,16.6,,16.6,24.0
08 05 05.20,Selective Demolition of Windows,2020,To 25 S.F.,,18.0,0.444,,,20.5,,20.5,30.0
08 05 05.20,Selective Demolition of Windows,2060,To 50 S.F.,,13.0,0.615,,,28.0,,28.0,42.0
08 05 05.20,Selective Demolition for Openings,65,To 180 S.F.,11 Clab,8.0,1.0,Ea,,45.5,,45.5,68.0
08 05 05.20,Selective Demolition for Openings,300,Remove bay /bow window,2 Carp,6.0,2.667,V,,150.0,,150.0,223.0
08 05 05.20,Selective Demolition for Openings,410,"Remove skylight ,plstc domes ,flush / curb mtd",,395.0,0.041,S.E,,2.28,,2.28,3.39
08 05 05.20,Selective Demolition for Openings,420,"Remove skylight ,plstc/ glass up to 2 ' x 3 '",1 Carp,15.0,0.533,Ea,,30.0,,30.0,44.5
08 05 05.20,Selective Demolition for Openings,440,"Remove skylight ,plstc/ glass up to 4 ' x 6 '",2 Carp,10.0,1.6,,,90.0,,90.0,134.0
08 05 05.20,Selective Demolition for Openings,480,Remove roof window up to 3 'x 4 ',1 Carp,8.0,,,,56.5,,56.5,84.0
08 05 05.20,Selective Demolition for Openings,500,Remove roof window up to 4 ' x 6 ',12 Carp,,2.667,,,150.0,,150.0,223.0
08 05 05.20,Selective Demolition for Openings,20,"Remove and reset window , up to a 2 ' x 2 ' window",1 Carp,6.0,1.333,,,75.0,,75.0,112.0
08 05 05.20,Selective Demolition for Openings,40,Up to a 3 ' x 3 ' window,,4.0,2.0,,,113.0,,113.0,168.0
08 05 05.20,Selective Demolition for Openings,80,Up to a 4 ' x 5 ' window,,2.0,4.0,,,225.0,,225.0,335.0
08 05 05.20,Entrance Doors,10,"ENTRANCE DOORS and frame, aluminum, narrow stile",2 Sswk,2.0,8.0,Ea,"1,125",4465,,"1,620","1,975"
08 05 05.20,Entrance Doors,25,"Anodizing aluminum entr. door & frame, add",,,,,110,,,110,121
08 05 05.20,Entrance Doors,30,"3'-6 "" x 7 '-0 "" opening",2 Sswk,28.0,,,880,495,,"1,375","1,725"
08 05 05.20,Entrance Doors,100,"3 '0 "" x 10 '-0"" opening, 3 ' high transom",,1.8,8.889,,"1,375",550,,"1,925","2,350"
08 05 05.20,Entrance Doors,200,"3' 6 "" x 10 '-0"" opening, 3 ' high transom",,1.8,8.889,,"1,500",550,,"2,050","2,500"
08 05 05.20,Entrance Doors,280,"5 '0 "" x 7 '-0 "" opening",,2.0,8.0,,"1,600",495,,"2,095","2,525"
08 05 05.20,Entrance Doors,300,"6 '-0"" x 7 ' 0 "" opening",,1.3,12.308,,"1,100",760,,"1,860","2,375"
08 05 05.20,Entrance Doors,301,"6 -0 "" x 7 '-0"" opening",,1.3,12.308,Pr.,"1,100",760,,"1,860","2,375"
08 05 05.20,Entrance Doors,400,"6 '0"" x 10 '-0"" opening, 3 ' high transom",,1.1,14.545,11,"1,650",900,,"2,550","3,175"
08 05 05.20,Entrance Doors,520,"3 '0"" x 7 '-0 "" opening, wide stile",,2.0,8.0,Ea,930,495,,"1,425","1,775"
